Date,spx,dax,ftse,nikkei
01/02/2020,3257.850098,9092.19043,7604.299805,
01/03/2020,3234.850098,9020.769531,7622.399902,
01/06/2020,3246.280029,9071.469727,7575.299805,23204.85938
01/07/2020,3237.179932,9068.580078,7573.899902,23575.7207
01/08/2020,3253.050049,9129.240234,7574.899902,23204.75977
01/09/2020,3274.699951,9203.429688,7598.100098,23739.86914
01/10/2020,3265.350098,9178.860352,7587.899902,23850.57031
1/13/2020,3288.129883,9273.929688,7617.600098,23850.57031
1/14/2020,3283.149902,9251.330078,7622.399902,24025.16992
1/15/2020,3289.290039,9258.700195,7642.799805,23916.58008
1/16/2020,3316.810059,9357.129883,7609.799805,23933.13086
1/17/2020,3329.620117,9388.94043,7674.600098,24041.25977
1/20/2020,3329.620117,9388.94043,7651.399902,24083.50977
1/21/2020,3320.790039,9370.80957,7610.700195,23864.56055
1/22/2020,3321.75,9383.769531,7571.899902,24031.34961
1/23/2020,3325.540039,9402.480469,7507.700195,23795.43945
1/24/2020,3295.469971,9314.910156,7586,23827.17969
1/27/2020,3243.629883,9139.30957,7412.100098,23343.50977
1/28/2020,3276.23999,9269.679688,7480.700195,23215.71094
1/29/2020,3273.399902,9275.160156,7483.600098,23379.40039
1/30/2020,3283.659912,9298.929688,7382,22977.75
1/31/2020,3225.52002,9150.94043,7286,23205.17969
02/03/2020,3248.919922,9273.400391,7326.299805,22971.93945
02/04/2020,3297.590088,9467.969727,7439.799805,23084.58984
02/05/2020,3334.689941,9508.679688,7482.5,23319.56055
02/06/2020,3345.780029,9572.150391,7504.799805,23873.58984
02/07/2020,3327.709961,9520.509766,7466.700195,23827.98047
02/10/2020,3352.090088,9628.389648,7446.899902,23685.98047
02/11/2020,3357.75,9638.94043,7499.399902,23685.98047
02/12/2020,3379.449951,9725.959961,7534.399902,23861.21094
2/13/2020,3373.939941,9711.969727,7452,23827.73047
2/14/2020,3380.159912,9731.179688,7409.100098,23687.58984
2/17/2020,3380.159912,9731.179688,7433.299805,23523.24023
2/18/2020,3370.290039,9732.740234,7382,23193.80078
2/19/2020,3386.149902,9817.179688,7457,23400.69922
2/20/2020,3373.22998,9750.969727,7436.600098,23479.15039
2/21/2020,3337.75,9576.589844,7403.899902,23386.74023
2/24/2020,3225.889893,9221.280273,7156.799805,23386.74023
2/25/2020,3128.209961,8965.610352,7017.899902,22605.41016
2/26/2020,3116.389893,8980.780273,7042.5,22426.18945
2/27/2020,2978.76001,8566.480469,6796.399902,21948.23047
2/28/2020,2954.219971,8567.370117,6580.600098,21142.96094
03/02/2020,3090.22998,8952.169922,6654.899902,21344.08008
03/03/2020,3003.370117,8684.089844,6718.200195,21082.73047
03/04/2020,3130.120117,9018.089844,6815.600098,21100.06055
03/05/2020,3023.939941,8738.589844,6705.399902,21329.11914
03/06/2020,2972.370117,8575.620117,6462.600098,20749.75
03/09/2020,2746.560059,7950.680176,5965.799805,19698.75977
03/10/2020,2882.22998,8344.25,5960.200195,19867.11914
03/11/2020,2741.379883,7952.049805,5876.5,19416.06055
